id,name,riding_name,last_win_margin,party_leader,pm,mpp,premier,cabinet
432,Élaine Michaud,Portneuf--Jacques-Cartier
433,Réjean Thériault,Portneuf--Jacques-Cartier
434,Yvan Dutil,Québec
435,Christiane Gagnon,Québec
436,Stefan Jetchick,Québec
437,Pierre Morasse,Québec
438,Annick Papillon,Québec
439,François Payeur,Québec
440,Michel Duchaine,Repentigny
441,Nicolas Dufour,Repentigny
442,Jean-François Larose,Repentigny
443,Chantal Perreault,Repentigny
444,Christophe Royer,Repentigny
445,Rhéal Blais,Bas-Richelieu--Nicolet--Bécancour
446,Charles Cartier,Bas-Richelieu--Nicolet--Bécancour
447,Krista Lalonde,Bas-Richelieu--Nicolet--Bécancour
448,Louis Plamondon,Bas-Richelieu--Nicolet--Bécancour
449,Anne-Marie Tanguay,Bas-Richelieu--Nicolet--Bécancour
450,Jean-Philippe Bachand,Richmond--Arthabaska
451,André Bellavance,Richmond--Arthabaska
452,Tomy Bombardier,Richmond--Arthabaska
453,Isabelle Maguire,Richmond--Arthabaska
454,Marie-Josée Talbot,Richmond--Arthabaska
455,Pierre Cadieux,Rimouski-Neigette--Témiscouata--Les Basques
456,Guy Caron,Rimouski-Neigette--Témiscouata--Les Basques
457,Bertin Denis,Rimouski-Neigette--Témiscouata--Les Basques
458,Claude Guimond,Rimouski-Neigette--Témiscouata--Les Basques
459,Clément Pelletier,Rimouski-Neigette--Témiscouata--Les Basques
460,Gilles Bisson,Rivière-des-Mille-Îles
461,Luc Desnoyers,Rivière-des-Mille-Îles
462,Denis Joannette,Rivière-des-Mille-Îles
463,Lucie Leblanc,Rivière-des-Mille-Îles
464,Laurin Liu,Rivière-des-Mille-Îles
465,Nathalie Arsenault,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
466,Andrew Caddell,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
467,Bernard Généreux,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
468,François Lapointe,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
469,Lynette Tremblay,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup
470,Sylvain Charron,Rivière-du-Nord
471,Pierre Dionne Labelle,Rivière-du-Nord
472,Monique Guay,Rivière-du-Nord
473,Jonathan Juteau,Rivière-du-Nord
474,René Piché,Rivière-du-Nord
475,Bernard Garneau,Roberval--Lac-Saint-Jean
476,Yvon Guay,Roberval--Lac-Saint-Jean
477,Denis Lebel,Roberval--Lac-Saint-Jean
478,Claude Pilote,Roberval--Lac-Saint-Jean
479,Steeve Simard,Roberval--Lac-Saint-Jean
480,Kettly Beauregard,Rosemont--La Petite-Patrie
481,Jean-Patrick Berthiaume,Rosemont--La Petite-Patrie
482,Bernard Bigras,Rosemont--La Petite-Patrie
483,Alexandre Boulerice,Rosemont--La Petite-Patrie
484,Stéphane Chénier,Rosemont--La Petite-Patrie
485,Sébastien Forté,Rosemont--La Petite-Patrie
486,Sameer Muldeen,Rosemont--La Petite-Patrie
487,Nicole Charbonneau Barron,Saint-Bruno--Saint-Hubert
488,Germain Denoncourt,Saint-Bruno--Saint-Hubert
489,Carole Lavallée,Saint-Bruno--Saint-Hubert
490,Michel Picard,Saint-Bruno--Saint-Hubert
491,Djaouida Sellah,Saint-Bruno--Saint-Hubert
492,Johany Beaudoin-Bussières,Saint-Hyacinthe--Bagot
493,Jean-Guy Dagenais,Saint-Hyacinthe--Bagot
494,Marie-Claude Morin,Saint-Hyacinthe--Bagot
495,Ève-Mary Thaï Thi Lac,Saint-Hyacinthe--Bagot
496,Denis Vallée,Saint-Hyacinthe--Bagot
497,Claude Bachand,Saint-Jean
498,Tarik Brahmi,Saint-Jean
499,Robert David,Saint-Jean
500,Jean Thouin,Saint-Jean
501,Pierre Tremblay,Saint-Jean
502,Josée Beaudin,Saint-Lambert
503,Carmen Budilean,Saint-Lambert
504,Sadia Groguhé,Saint-Lambert
505,Qais Hamidi,Saint-Lambert
506,Roxane Stanners,Saint-Lambert
507,Fernand Deschamps,Saint-Laurent--Cartierville
508,Stéphane Dion,Saint-Laurent--Cartierville
509,William Fayad,Saint-Laurent--Cartierville
510,Maria Ximena Florez,Saint-Laurent--Cartierville
511,Tim Landry,Saint-Laurent--Cartierville
512,Svetlana Litvin,Saint-Laurent--Cartierville
513,Alain Bernier,Saint-Léonard--Saint-Michel
514,Garnet Colly,Saint-Léonard--Saint-Michel
515,Riccardo De Ioris,Saint-Léonard--Saint-Michel
516,Michael Di Pardo,Saint-Léonard--Saint-Michel
517,Massimo Pacetti,Saint-Léonard--Saint-Michel
518,Roberta Peressini,Saint-Léonard--Saint-Michel
519,Pierre Audette,Saint-Maurice--Champlain
520,Jacques Grenier,Saint-Maurice--Champlain
521,Jean-Yves Laforest,Saint-Maurice--Champlain
522,Lise St-Denis,Saint-Maurice--Champlain
523,Yves Tousignant,Saint-Maurice--Champlain
524,Patrick Daoust,Shefford
525,Bernard Demers,Shefford
526,Réjean Genest,Shefford
527,Mélisa Leclerc,Shefford
528,Robert Vincent,Shefford
529,Serge Cardin,Sherbrooke
530,Éric Deslauriers,Sherbrooke
531,Pierre-Luc Dusseault,Sherbrooke
532,Pierre Harvey,Sherbrooke
533,Jacques Laberge,Sherbrooke
534,Crédible Berlingot Landry,Sherbrooke
535,Charmaine Borg,Terrebonne--Blainville
536,Diane Bourgeois,Terrebonne--Blainville
537,Robert Frégeau,Terrebonne--Blainville
538,Michel Paulette,Terrebonne--Blainville
539,Jean-Philippe Payment,Terrebonne--Blainville
540,Francis Arsenault,Trois-Rivières
541,Robert Aubin,Trois-Rivières
542,Paule Brunelle,Trois-Rivières
543,Marc-André Fortin,Trois-Rivières
544,Louis Lacroix,Trois-Rivières
545,Pierre Lacroix,Trois-Rivières
546,Patrice Mangin,Trois-Rivières
547,Marc Boudreau,Vaudreuil-Soulanges
548,Meili Faille,Vaudreuil-Soulanges
549,Jean-Yves Massenet,Vaudreuil-Soulanges
550,Jamie Nicholls,Vaudreuil-Soulanges
551,Lyne Pelchat,Vaudreuil-Soulanges
552,Rodrigo Alfaro,Verchères--Les Patriotes
553,Sana Hassainia,Verchères--Les Patriotes
554,Thomas Lapierre,Verchères--Les Patriotes
555,Luc Malo,Verchères--Les Patriotes
556,Pier-Luc Therrien-Péloquin,Verchères--Les Patriotes
557,Andrew Carkner,Westmount--Ville-Marie
558,Joanne Corbeil,Westmount--Ville-Marie
559,Neil Drabkin,Westmount--Ville-Marie
560,Marc Garneau,Westmount--Ville-Marie
561,Victoria Haliburton,Westmount--Ville-Marie
562,Véronique Roy,Westmount--Ville-Marie
563,Bill Sloan,Westmount--Ville-Marie
564,Chris Alexander,Ajax--Pickering
565,Mike Harilaid,Ajax--Pickering
566,Mark Holland,Ajax--Pickering
567,Bob Kesic,Ajax--Pickering
568,Jim Koppens,Ajax--Pickering
569,François Cloutier,Algoma--Manitoulin--Kapuskasing
570,Carol Hughes,Algoma--Manitoulin--Kapuskasing
571,Lorraine A. Rekmans,Algoma--Manitoulin--Kapuskasing
572,Ray Sturgeon,Algoma--Manitoulin--Kapuskasing
573,Dave Braden,Ancaster--Dundas--Flamborough--Westdale
574,Jamilé Ghaddar,Ancaster--Dundas--Flamborough--Westdale
575,Anthony Giles,Ancaster--Dundas--Flamborough--Westdale
576,Nancy MacBain,Ancaster--Dundas--Flamborough--Westdale
577,Peter Michael Ormond,Ancaster--Dundas--Flamborough--Westdale
578,David Sweet,Ancaster--Dundas--Flamborough--Westdale
579,Patrick Brown,Barrie
580,Myrna Clark,Barrie
581,Erich Jacoby-Hawkins,Barrie
582,Christine Nugent,Barrie
583,Darren Roskam,Barrie
584,Jeff Sakula,Barrie
585,Colin Wilson,Barrie
586,Bill Burrows,Beaches--East York
587,Aaron Cameron,Beaches--East York
588,Roger Carter,Beaches--East York
589,Matthew Kellway,Beaches--East York
590,Maria Minna,Beaches--East York
591,Frank Chilelli,Bramalea--Gore--Malton
592,Bal Gosal,Bramalea--Gore--Malton
593,Gurbax S. Malhi,Bramalea--Gore--Malton
594,John R.A. Moulton,Bramalea--Gore--Malton
595,Jagmeet Singh,Bramalea--Gore--Malton
